sequence_a	sequence_b	rnadist	software
AY302543.1_7296-7416	X77708.1_7303-7433	0	carna
Z50737.1_3-119	K02683.1_2-118	1	carna
M68929.1_174348-174275	D12695.1_203-134	0	carna
AF134760.1_1-181	AF041304.1_1-191	52	carna
M36311.1_2-120	AF114036.1_6058-6174	17	carna
M87833.1_2781-2865	X52392.1_5025-5096	1	carna
BX571869.1_30799-30632	BX572599.1_256535-256331	143	carna
X55264.1_4-122	X15126.1_3-120	1	carna
AY371157.1_1296-1347	AF024350.1_90-141	0	carna
X00239.1_111-183	X16888.1_869-940	1	carna
L36887.1_650-721	U22383.1_8197-8124	0	carna
AE015942.1_58651-58542	AE007806.1_8808-8702	4	carna
AE007691.1_7901-8001	Z99111.2_13049-12893	14	carna
AF543972.1_38-121	AB074074.1_101-184	0	carna
X01002.1_1-119	K03168.1_1-118	0	carna
AF491247.1_65-148	AF017894.1_29-112	0	carna
X00932.1_3-118	X06575.1_4-117	1	carna
D13449.1_1-185	AY438098.1_5-221	88	carna
X76918.1_1-348	L29616.1_5-230	164	carna
X00932.1_3-118	X02255.1_3-118	0	carna
X55251.1_3-116	M27245.1_5773-5889	10	carna
M38645.1_2-120	AF170176.1_1092-1207	22	carna
V00678.1_193-264	D38114.1_11560-11628	4	carna
AF170516.1_283-335	AJ005294.1_282-334	0	carna
AF286239.1_61-177	AF067156.1_72-189	60	carna
U56347.1_49-132	AJ276596.1_173-256	0	carna
AY037280.1_8782-8838	AY093603.1_8740-8795	0	carna
AF010496.1_116971-117194	AF010496.1_39869-39652	35	carna
AE002321.1_7246-7145	U06833.1_215-133	7	carna
AF036395.1_119-163	D87492.1_743-788	0	carna
X12631.1_1347-1277	X14848.1_3684-3752	8	carna
AB031322.1_1663-1713	D86530.1_983-1033	0	carna
X16192.1_3-117	X68666.1_1-122	45	carna
AF386029.1_65-148	AF386035.1_65-148	0	carna
Z74797.1_2502-2432	L07095.1_4950-5016	15	carna
AF442570.1_8877-8933	AY118156.1_2-57	12	carna
D00435.1_4364-4424	AF405666.1_4444-4504	0	carna
X80346.1_67-220	X60705.1_112-265	0	carna
AB030643.1_4176-4241	D88033.1_3186-3249	18	carna
X53444.1_72-144	AF217350.1_265-194	0	carna
M19342.1_69-141	D12695.1_203-134	0	carna
X03154.1_723-795	AC009323.4_14362-14281	63	carna
X06687.1_3-118	M58416.1_2-116	0	carna
X56629.1_421-581	X14413.1_179-339	16	carna
AF311938.1_4403-4463	U05876.1_4404-4464	0	carna
X56005.1_1-73	X61067.1_334-415	5	carna
BX005477.7_104650-104704	BX005175.8_210050-209996	0	carna
X52301.1_1-117	M58384.1_1-118	11	carna
U67853.1_375-442	L12743.1_694-758	41	carna
K01050.1_1-121	X00993.1_1-119	8	carna
Y11111.1_1260-1324	AB022283.1_1669-1729	16	carna
X04465.1_71857-71924	X07106.1_2899-2978	12	carna
AJ276224.1_4393-4453	AF405682.1_4444-4504	0	carna
AF499635.1_1-91	AF499642.1_1-91	0	carna
AJ550907.1_56-3	AJ295015.1_58-1	8	carna
X05914.1_400-337	X69067.1_6022-6086	1	carna
AF457064.1_59-142	AF095832.1_65-148	5	carna
X67736.1_4837-4923	X16745.1_1-74	24	carna
X52303.1_2-118	X58874.1_548-664	0	carna
AF041468.1_43811-43739	M57698.1_294-367	5	carna
Z34533.1_38786-39082	U00064.1_12850-13146	8	carna
M59340.1_3-119	X52302.1_2-117	0	carna
X51551.1_101-172	AF491005.1_5436-5355	16	carna
AF281754.1_65-148	AB115515.1_65-148	0	carna
X15901.1_105074-105153	D00547.1_242-315	3	carna
AY262830.1_59-142	AF484501.1_59-142	0	carna
V00334.1_358-430	AF008220.1_6713-6785	1	carna
AJ131586.1_3-115	X05528.1_1-121	21	carna
AF121502.1_65-148	AF457060.1_59-142	36	carna
AC139110.4_26930-26875	BX293564.5_124345-124291	0	carna
AF386047.1_65-148	AF042100.1_853-936	0	carna
AJ131585.1_3-115	M36156.1_2-116	1	carna
BX294144.1_76053-76292	AE016783.1_53812-53604	175	carna
X61068.1_961-1034	AC006449.19_196857-196784	0	carna
AF158725.1_345-497	X01533.1_5-152	66	carna
X13704.1_1807-1880	X16886.1_923-857	17	carna
AB049092.1_9230-9280	AF238481.1_9295-9345	0	carna
U29412.1_1300-1351	U29422.1_1296-1347	0	carna
AY173955.1_205-288	AF443099.1_231-314	0	carna
J00645.1_51-213	Z11883.1_2840-2993	22	carna
AY173956.1_1338-1389	U29407.1_1293-1344	0	carna
AY232734.1_9159-9223	AF011753.1_9129-9194	13	carna
AE016776.1_272500-272339	AE016859.1_295534-295393	16	carna
M83545.1_282-335	AF170523.1_55-3	0	carna
Z84266.1_1-249	Z77073.1_1-195	102	carna
X15768.1_211-283	X63088.1_299-371	6	carna
AF075703.1_195-278	AF084702.1_64-148	12	carna
M59340.1_3-119	M76574.1_4-118	1	carna
AB042240.3_6758-6687	AB042432.1_6942-7011	0	carna
AF282963.1_1-52	AY535715.1_171-222	0	carna
X04163.1_59-131	K00344.1_1-73	19	carna
X03715.1_589-662	X02167.1_345-416	0	carna
L27170.1_1-120	M36156.1_2-116	20	carna
X15118.1_1470-1542	X16887.1_483-416	23	carna
AF088897.1_10366-10481	AJ251080.1_1-117	61	carna
AF047724.1_711-640	J01390.1_5955-6026	10	carna
AY055155.1_298-549	AF117626.1_289-533	29	carna
M20949.1_1-72	X52392.1_13000-13070	0	carna
AL590385.23_27782-27864	AP000423.1_76-4	1	carna
AF217312.1_1-256	AY070187.1_1-277	24	carna
M68929.1_166929-166856	M10217.1_5770-5840	0	carna
X17395.1_1934-1994	AF235045.1_658-731	12	carna
Z69686.1_342-390	Z69689.1_341-389	4	carna
J04815.1_1953-1885	V01556.1_1456-1523	4	carna
Z29260.1_1-302	AE013320.1_6338-6044	137	carna
D10582.1_4105-4224	AJ245863.1_1369-1498	0	carna
AY173956.1_1338-1389	AB074055.1_1347-1398	0	carna
AF170503.1_280-333	AJ550900.1_56-3	0	carna
M34760.1_2-117	Z11825.1_3-116	21	carna
AF457070.1_1284-1335	AY561238.1_1290-1341	0	carna
AF088897.1_10366-10481	AF051555.1_130-236	7	carna
AF041281.1_1-191	AY172638.1_1-322	138	carna
Z37972.1_1-174	X54113.1_230-415	72	carna
X00764.1_173-244	X00892.1_1-74	2	carna
AY451099.1_148-231	AB044054.1_65-148	1	carna
AJ438622.1_1-250	X78859.1_2-194	90	carna
X03924.1_17-83	AB042524.1_9391-9458	21	carna
AE012997.1_6989-7110	AE013857.1_9631-9778	50	carna
AF506636.1_1-236	AY344026.1_1-280	279	carna
AY322189.1_1554-1605	AF024389.1_90-141	0	carna
U01214.1_2-392	AY146000.1_2-212	32	carna
X07772.1_25-50	M60746.1_626-651	0	carna
M86497.1_1020-1086	AB042809.1_5159-5089	4	carna
U14766.1_1-239	D16616.1_3-309	97	carna
X06473.1_389-584	X52312.1_235-430	0	carna
BX005334.9_52316-52370	BX005479.5_56727-56781	21	carna
X75615.1_8-118	Z11824.1_3-116	78	carna
AP003013.2_206912-207118	M34485.1_360-150	125	carna
AF170520.1_282-335	AJ550912.1_56-3	0	carna
AE005658.1_7176-7257	D00547.1_329-401	4	carna
AF196741.1_454-509	AF254708.1_384-439	0	carna
X06428.1_229-300	M20954.1_1-74	0	carna
AF041292.1_1-190	D16612.1_3-309	146	carna
AB042240.3_15036-15107	AJ404228.1_1559-1631	0	carna
AF008220.1_5430-5502	S64977.1_800-870	14	carna
U56889.1_65-148	AF418362.1_65-148	0	carna
AF165057.1_9114-9179	AY587845.1_9065-9130	0	carna
Z79554.1_65-148	AY339787.1_61-144	13	carna
D12694.1_2533-2604	AJ270287.1_567-495	0	carna
M31831.1_60-156	X14404.1_126-225	11	carna
AF237335.1_140-258	X02250.1_3-118	2	carna
M35060.1_1-72	Z11880.1_281-353	0	carna
AF286225.1_201-284	AY134936.1_65-148	0	carna
M10437.1_2-120	S43413.1_98-213	7	carna
X14416.1_171-331	X69328.1_1-158	6	carna
AF506629.1_2-232	AY188165.1_2-196	40	carna
X12631.1_1347-1277	X05693.1_1054-1126	0	carna
U56898.1_65-148	AB044068.1_65-148	47	carna
X02039.1_3-118	X02713.1_1-117	11	carna
AY145909.1_2-205	AF056005.1_1-237	74	carna
U69592.1_125-223	AF254711.1_539-637	0	carna
M76571.1_4-117	X03903.1_4-117	63	carna
BX572604.1_199848-199986	AE017265.1_218427-218529	1	carna
X51379.1_254-444	AY205287.1_148-4	91	carna
AJ131598.1_3-114	X07692.1_700-821	6	carna
AP003187.2_139222-139393	AL596166.1_112469-112272	45	carna
AF057149.1_1-240	U51768.1_3-213	95	carna
AF047723.1_4036-4107	K02974.1_529-600	0	carna
X15917.1_6364-6435	D00548.1_191-271	5	carna
AY371151.1_1284-1335	L11789.1_1281-1332	0	carna
U67517.1_7511-7582	M89651.1_39808-39722	11	carna
X01557.1_3-118	M34771.1_2-116	1	carna
X78865.1_2-193	U23386.1_2-306	81	carna
AF239642.1_405-461	AF385934.1_9591-9647	0	carna
J04815.1_1026-1098	X16885.1_1019-953	12	carna
K02344.1_1-118	X00067.1_1-119	6	carna
X16459.1_280-475	M72888.1_1-195	0	carna
AJ296990.1_141-209	M20964.1_1-88	27	carna
AF443078.1_8896-8952	U51288.1_371-427	0	carna
X61068.1_651-734	X52392.1_5172-5102	19	carna
AP005278.1_38696-38585	AP005959.1_127882-128010	38	carna
L34393.1_1-279	D31606.1_1-341	128	carna
X06843.1_1-119	X06834.1_1-119	0	carna
AJ131583.1_3-115	X02255.1_3-118	1	carna
AF021345.1_10097-10160	AF274027.1_835-900	4	carna
AF347015.1_1604-1672	M21373.1_131-204	0	carna
X00574.1_1-118	X02023.1_1-116	8	carna
M25201.1_1-119	J01851.1_1-119	0	carna
X15929.1_1-194	X55772.1_223-412	56	carna
AF008220.1_7053-7140	X52070.1_777-849	10	carna
X12631.1_10184-10115	AF164586.1_93-158	1	carna
X15364.1_835-1130	Y08257.1_50512-50799	50	carna
X61068.1_961-1034	AP000397.1_114390-114319	0	carna
L23320.1_77-10	X03154.1_608-697	25	carna
X04465.1_116516-116403	AJ316582.1_78387-78450	32	carna
AE007608.1_12720-12617	Z99123.2_187154-187260	4	carna
J03563.1_352-512	X14414.1_152-312	7	carna
M91385.1_1046-1118	AB031211.1_7799-7884	74	carna
M68929.1_20078-20150	X12977.1_94-167	11	carna
Z84232.1_1-250	Z77077.1_1-197	66	carna
M84851.1_1-320	D31605.1_1-340	108	carna
L28858.1_453-551	AF254731.1_518-616	0	carna
AY535676.1_171-222	AB078707.1_1299-1350	0	carna
AB003409.1_96-167	D12694.1_2607-2676	0	carna
X66437.1_1-83	V00675.1_586-656	1	carna
X00071.1_1-118	M27245.1_5773-5889	7	carna
AF332867.1_388-471	AF457085.1_59-142	0	carna
AF254732.1_518-616	AY352275.1_580-677	0	carna
AJ131595.1_3-115	Z11820.1_5-112	13	carna
Z36523.1_3-205	AY163827.1_1-253	96	carna
X62864.1_3-123	M34764.1_3-118	20	carna
AY237167.1_1438-1489	AF457071.1_1281-1332	0	carna
L28914.1_463-561	AY423382.1_202-300	0	carna
X02023.1_1-116	M11537.1_2-117	1	carna
AF102224.1_393-449	AB052608.1_455-510	0	carna
AF241527.2_359-424	AF021345.1_10097-10160	15	carna
U67171.1_375-442	D25220.1_1493-1556	4	carna
AE017033.1_217118-217310	AE015944.1_195870-195703	18	carna
AF052653.1_130-203	AB042524.1_5257-5192	4	carna
AP003187.2_61536-61648	BX571872.1_163681-163547	97	carna
AJ550898.1_282-335	AJ536614.1_206-152	0	carna
AL935286.14_10859-10807	AB001962.1_114-167	1	carna
M21373.1_208-280	X02167.1_345-416	1	carna
X15901.1_105074-105153	L07095.1_15292-15358	21	carna
X03715.1_779-868	X00181.1_495-582	20	carna
AF121474.1_65-148	AF443100.1_230-313	0	carna
AF254673.1_380-435	AF102204.1_384-440	0	carna
AL646079.1_157144-156965	AE014570.1_13585-13353	20	carna
AP005030.1_142199-142427	AE017252.1_282498-282294	196	carna
M19950.1_1-120	X52300.1_5-122	24	carna
AY037277.1_59-142	AF538306.1_853-936	14	carna
AF506683.1_1-239	AF506666.1_2-232	124	carna
X00432.1_665-732	D10743.1_4-73	49	carna
AF017872.1_10-93	AF115449.1_65-148	12	carna
AF185056.1_845-774	AF142677.4_47045-46960	49	carna
AJ400848.1_45575-45503	M16333.1_1-74	0	carna
AF170516.1_283-335	AJ241838.1_56-3	0	carna
L36887.1_3769-3839	U18917.1_50408-50336	0	carna
AY140155.1_1176-1225	AY206657.1_1299-1350	0	carna
M36314.1_2-120	M16171.1_3-119	5	carna
AF443107.1_231-314	AF391259.1_65-148	0	carna
AY451179.1_148-231	Z97099.1_19-102	38	carna
AE005466.1_5965-6036	X61068.1_961-1034	0	carna
AJ005294.1_282-334	AJ005305.1_56-3	0	carna
AE005658.1_7176-7257	M57527.1_1-70	7	carna
AF511949.1_1-391	U23742.1_1-265	12	carna
AF056630.1_1-237	Z14099.1_1-342	54	carna
X54552.1_66-137	Z11880.1_281-353	0	carna
AF076356.1_60-128	X59566.1_318-390	0	carna
AY536238.1_1336-1387	AJ313393.1_52-103	0	carna
AE016869.1_178989-179107	Z99124.2_158222-158117	9	carna
AF286239.1_1448-1499	AY371126.1_1275-1326	0	carna
AP003190.2_169692-169599	U32770.1_3645-3566	11	carna
Y12290.1_4568-4593	U37576.1_709-734	0	carna
AY064301.1_1-52	AF492623.1_1448-1499	0	carna
AJ296990.1_141-209	M22656.1_459-528	4	carna
AF110976.1_1563-1614	AY484779.1_1-51	0	carna
AE015548.1_1057-1279	AE014570.1_13585-13353	94	carna
AL132709.5_137723-137652	AL132709.5_135542-135471	4	carna
AF382005.1_581-651	AF008220.1_6172-6245	8	carna
AF034619.1_5584-5700	X62865.1_3-123	4	carna
AJ006327.1_1-227	AJ438628.1_1-250	63	carna
AF074613.1_60570-60649	AF143425.1_760-901	65	carna
Z50074.1_3-119	U67537.1_493-607	11	carna
AY518966.1_46-97	AY535668.1_171-222	0	carna
AY463231.1_28-126	U51291.1_488-586	0	carna
AY125894.1_1289-1340	AF457060.1_1278-1329	0	carna
AL596168.1_161626-161717	AE011751.1_9538-9457	12	carna
L24896.1_600-665	X71973.1_730-791	56	carna
U81454.1_411-509	M17451.1_93-191	0	carna
AB059820.1_266-517	AJ295198.1_352-602	4	carna
AJ131144.1_1753-1833	AJ277126.1_2879-2953	0	carna
AF207766.1_9306-9342	D86530.1_1041-1076	0	carna
L34393.1_1-279	AY070186.1_1-277	32	carna
AY012114.1_954-1022	M86501.1_1-68	2	carna
L11774.1_65-148	AF532726.1_65-148	22	carna
AY145950.1_1-177	Z84227.1_1-250	64	carna
AF443099.1_8920-8975	AF196745.1_455-510	0	carna
M27315.1_1347-1280	X14848.1_3824-3891	52	carna
AL935128.13_66966-66912	BX004764.8_42998-42941	2	carna
AB009835.1_1-71	X05914.1_238-170	8	carna
AF024059.1_117-168	AF443076.1_1443-1494	0	carna
AJ006317.1_1-229	M61720.1_1-239	205	carna
AF207760.1_9306-9342	D14306.1_1043-1079	0	carna
AF156817.1_45-96	AF024295.1_120-171	0	carna
J03563.1_352-512	X02585.1_923-1086	19	carna
X02167.1_268-340	D10745.1_410-483	28	carna
V00654.1_15791-15726	X52392.1_2273-2345	8	carna
U22036.1_386-480	M31831.1_60-156	13	carna
J00642.1_462-533	AL023288.2_21768-21839	0	carna
M10217.1_9797-9871	X04465.1_36643-36562	1	carna
Z50062.1_3-119	X01618.1_1-119	9	carna
U51189.1_871-954	Z79532.1_65-148	0	carna
M72891.1_1-196	Z37973.1_1-173	83	carna
J04815.1_1026-1098	X15602.1_102-172	0	carna
U56899.1_65-148	AF418448.1_65-148	0	carna
AF390544.1_1076-1142	D25220.1_1493-1556	5	carna
U05032.1_1-360	Z14099.1_1-342	48	carna
AF074613.1_60570-60649	M68929.1_49817-49892	4	carna
AL162971.1_11752-11825	X03499.1_37-110	0	carna
AE010547.1_5644-5538	AJ000974.1_281-386	0	carna
M76573.1_4-118	U01070.1_190-289	60	carna
V01556.1_306-238	X69067.1_6022-6086	6	carna
D10988.1_9387-9423	D49770.1_1041-1076	0	carna
AE008809.1_3263-3335	X12890.1_1972-2045	0	carna
M17129.1_151-222	AE008996.1_2003-1920	36	carna
AE017272.1_195611-195716	AE009471.1_6144-5974	56	carna
AF270301.1_145-36	AL596172.1_176254-176136	26	carna
X05535.1_1-118	X83208.1_1-119	0	carna
K02350.1_1-119	M10434.1_1-119	0	carna
Y10943.1_948-1016	Z71311.1_286-214	0	carna
M58665.1_571-712	AF326335.1_1-142	9	carna
X02044.1_4-118	M76388.1_6142-6258	1	carna
AY253309.1_1281-1332	AY492757.1_849-900	0	carna
AJ241833.1_282-334	D00685.1_1-46	16	carna
BX572605.1_160670-160756	AL766849.1_65640-65772	44	carna
AY255823.1_59-142	AF121509.1_65-148	24	carna
Z84216.1_1-250	X78864.1_2-193	64	carna
U80519.1_421-519	AF239651.1_517-615	0	carna
AF077336.1_8838-8894	AF119820.1_464-520	0	carna
AC008443.10_38881-38809	D12694.1_2607-2676	0	carna
AE008441.1_3915-4003	AE006074.1_48-140	0	carna
X16885.1_779-708	X16888.1_255-184	2	carna
AY441922.1_80-131	AY492774.1_846-897	0	carna
X00916.1_1218-1332	M36157.1_2-116	34	carna
U56345.1_67-150	U56891.1_65-148	0	carna
AF457069.1_59-142	AB078005.1_809-892	0	carna
AY434111.1_2-296	AF271891.1_1-237	54	carna
AE005628.1_5121-5311	BX572594.1_100625-100429	149	carna
AY074891.1_8872-8928	AF063176.1_457-513	0	carna
AY371127.1_59-142	Z97096.1_19-102	4	carna
AF055303.1_1-240	AJ006313.1_1-205	56	carna
AB031215.1_9125-9195	M31489.1_112-183	8	carna
AE005629.1_7274-7346	X15768.1_134-207	0	carna
L27902.1_1-231	AF506663.1_1-222	13	carna
AF418389.1_65-148	AB042488.1_65-148	9	carna
AY162224.1_704-822	AF460972.1_71-188	4	carna
AE001441.1_7008-6912	AP003006.2_282610-282707	16	carna
AL596169.1_221462-221354	AL939119.1_177986-178133	67	carna
AF349360.1_33-84	AY242596.1_511-562	0	carna
X52044.1_179-64	AF404059.1_70-187	32	carna
AL929222.6_74621-74567	AL929391.10_13836-13883	0	carna
AE016806.1_33242-33376	AE015942.1_292344-292250	67	carna
Z50056.1_3-119	X02025.1_1-116	1	carna
L02941.1_716-643	X00239.1_111-183	1	carna
AY070205.1_1-277	AY523466.1_1-174	75	carna
M36307.1_1-119	M36310.1_2-120	4	carna
AP005049.1_182766-182672	AE016955.1_241328-241238	27	carna
AF323226.1_65-116	AY519074.1_46-97	0	carna
AE006566.1_2851-2932	AP003015.2_179461-179552	1	carna
X12631.1_8405-8475	X61061.1_74-147	1	carna
X06054.1_711-637	X16643.1_820-900	45	carna
AF499640.1_390-641	X05690.1_394-645	86	carna
AF484481.1_1293-1344	AJ535007.1_23-74	0	carna
J01395.1_3006-3078	AF083212.1_212-284	0	carna
AF081485.1_394-644	AB081345.1_266-518	40	carna
AB015590.1_1-119	M25202.1_1-119	0	carna
AF450097.1_143-259	AF110959.1_182-300	80	carna
U29250.1_65-148	AB081209.1_65-148	28	carna
X83208.1_1-119	X06848.1_1-119	2	carna
AJ583738.1_51-102	AY423383.1_1625-1676	0	carna
D00059.1_1-118	X02027.1_1-117	7	carna
X01017.1_487-417	L07095.1_2676-2750	6	carna
AF238485.1_9353-9388	D87352.1_1040-1076	4	carna
M76576.1_4-118	X01590.1_5-121	8	carna
U89865.1_451-549	AF196764.1_600-698	0	carna
Z11874.1_40212-40285	AF108356.1_1-74	1	carna
AF036393.1_119-166	Z69689.1_341-389	19	carna
AL356957.27_121645-121572	AC005783.1_27398-27326	0	carna
X02039.1_3-118	X06688.1_3-118	28	carna
U69587.1_125-223	U43141.1_49-147	0	carna
AF217312.1_1-256	AJ278830.1_1-391	190	carna
L38342.1_1-288	D13448.1_1-296	172	carna
AF200837.1_6039-6103	L07095.1_2676-2750	16	carna
X55320.1_1-72	D11467.1_1-72	0	carna
X00932.1_3-118	M34770.1_1-114	2	carna
X02173.1_617-699	X57593.1_241-312	40	carna
X59562.1_71-144	X86563.2_119998-119925	1	carna
Z00044.1_1956-1845	M68929.1_49817-49892	45	carna
AF055304.1_1-239	AJ006331.1_1-230	108	carna
AY371155.1_59-142	AY206657.1_65-148	34	carna
V00334.1_358-430	X55523.1_17-90	0	carna
D37859.1_1040-1076	D37858.1_1040-1076	0	carna
AJ131588.1_3-114	X02248.1_3-118	1	carna
AE015944.1_267219-267117	AP004600.1_266413-266303	0	carna
AF029891.1_4522-4594	AJ277126.1_2879-2953	0	carna
AY056701.1_199-450	AF132497.1_147-398	109	carna
X52392.1_16177-16108	AE004294.1_4314-4241	0	carna
AY423386.1_193-291	AF096657.1_514-612	0	carna
AF368293.1_121-224	AP002546.2_147527-147424	8	carna
AJ312125.1_523-454	CR522870.1_1448610-1448703	9	carna
X60981.1_3182-3253	J00309.1_356-427	0	carna
AY451165.1_147-230	AF491240.1_65-148	0	carna
X16851.1_1-119	U09230.1_4482-4597	4	carna
X16886.1_781-711	X03240.1_1-65	9	carna
AF443079.1_232-315	AF391267.1_65-148	1	carna
AY055151.1_298-550	AY062273.1_288-534	39	carna
AF238482.1_1-356	AF041267.1_1-191	146	carna
U18089.1_3485-3600	M16171.1_3-119	1	carna
D00548.1_191-271	X03126.1_244-324	32	carna
M33000.1_55-110	AJ005319.1_56-3	4	carna
AE001799.1_20444-20268	AE015937.1_285886-286061	20	carna
AF158101.6_72456-72373	AB042809.1_5159-5089	4	carna
X00072.1_1-118	X57791.1_153-262	1	carna
K03457.1_176-259	AF443080.1_232-315	0	carna
J01390.1_12028-12098	X04779.1_1-73	7	carna
X52392.1_11128-11195	U67517.1_7202-7276	20	carna
U14768.1_1-239	L38346.1_1-288	230	carna
AB042240.3_15036-15107	AJ400848.1_44024-44110	41	carna
X00432.1_816-751	AF074839.1_52-124	0	carna
L29623.1_5-230	AF041270.1_1-191	54	carna
AF462419.1_4444-4504	AF405666.1_4444-4504	0	carna
AY190408.1_1-181	AF041295.1_1-191	44	carna
BX571861.1_7126-7022	AE017200.1_98337-98247	8	carna
AY074891.1_8872-8928	U80518.1_309-365	0	carna
X07924.1_110-197	J01390.1_6861-6932	3	carna
X99772.1_5062-5131	AC084429.5_20418-20485	4	carna
AY118165.1_1413-1464	AY492760.1_843-894	0	carna
AY140567.1_1116-1167	L11799.1_1278-1329	0	carna
AF356827.1_1-391	AY163828.1_1-251	128	carna
AF160864.1_14524-14453	X99772.1_11841-11913	0	carna
U67518.1_78-192	M16532.1_2-117	22	carna
AP003191.2_70270-70167	AP005219.1_132445-132345	12	carna
X55840.1_268-462	X51380.1_303-493	77	carna
AF110962.1_68-166	AF239657.1_534-632	4	carna
M10364.1_2-118	AF331021.1_183-301	10	carna
X69660.1_114-186	M86501.1_1024-1090	8	carna
M20958.1_1-80	M22650.1_459-527	1	carna
AF096875.1_5504-5568	X12367.1_703-764	12	carna
AY070196.1_1-277	AJ438621.1_1-250	64	carna
M59345.1_3-119	M16176.1_4-120	0	carna
X06688.1_3-118	X02246.1_3-118	0	carna
AF165060.1_9114-9179	AB049088.1_9126-9191	0	carna
BX569783.4_35396-35342	AC139110.4_26930-26875	0	carna
AJ131601.1_3-115	X02253.1_3-118	1	carna
AF196710.1_585-683	AF096654.1_541-639	0	carna
J01390.1_6669-6740	X04465.1_36787-36715	19	carna
AP000995.2_82486-82594	AE016955.1_248631-248543	38	carna
X00916.1_1018-1091	AC024877.2_101525-101454	0	carna
M84754.1_9261-9311	AF207768.1_9249-9299	0	carna
M10217.1_7394-7325	M93388.1_1185-1251	42	carna
X59583.1_330-410	X13247.1_151-237	5	carna
M74808.1_5-301	AB047644.1_1-390	82	carna
X02172.1_247-319	V00654.1_4197-4265	8	carna
X13485.1_5-77	AE005546.1_4076-3993	22	carna
Z99110.2_200192-200316	AP004603.1_147738-147633	35	carna
X03911.1_1-119	L27167.1_1-122	7	carna
AF084707.1_65-148	AF128998.1_182-265	4	carna
AF095839.1_1586-1389	M14625.1_332-488	148	carna
AF217307.1_1-256	AF506674.1_3-225	4	carna
AF543978.1_38-121	AF484502.1_59-142	0	carna
U05025.1_1-361	Z36524.1_3-205	71	carna
D63822.1_9294-9344	D50481.1_9249-9299	0	carna
M11545.1_4-118	K01050.1_1-121	19	carna
AF156835.1_45-96	AY165247.1_238-289	0	carna
AF196743.1_456-511	AF462790.1_738-793	0	carna
X13662.1_1-116	M34765.1_1-114	15	carna
AY017179.1_1528-1601	D12694.1_2745-2677	0	carna
D16558.1_6715-6832	X00022.1_1-119	0	carna
M34770.1_1-114	X06575.1_4-117	5	carna
AE001747.1_6884-6993	AB118748.1_319-422	78	carna
U14783.1_1-240	D14305.1_1-327	118	carna
J01390.1_12336-12408	X57046.1_121-203	23	carna
M26096.1_1-72	V01272.1_2790-2861	0	carna
D13619.1_3-119	M36312.1_2-120	3	carna
AF207752.1_9249-9299	D86534.1_983-1033	0	carna
AJ288982.1_713-827	AF286225.1_41-157	69	carna
J04815.1_1812-1884	AF234285.1_261-333	1	carna
X12631.1_1207-1274	X99772.1_9544-9611	8	carna
D16615.1_1040-1076	D14310.1_1043-1079	0	carna
X76008.1_2709-2772	AF274027.1_835-900	0	carna
X04163.1_219-289	AE005196.1_3290-3363	6	carna
X51372.1_210-400	L25918.1_1-181	74	carna
M34485.1_360-150	AL591978.1_56481-56658	44	carna
Z76043.1_36-119	AY451234.1_148-231	0	carna
AL132709.5_183412-183335	AL132709.5_185108-185034	14	carna
X13975.1_39-104	Z75101.1_9634-9705	8	carna
AY455781.1_1525-1576	AY535672.1_171-222	4	carna
X14698.1_250-321	AF347015.1_12139-12207	0	carna
AY070200.1_1-277	AF217313.1_1-256	12	carna
X03924.1_17-83	AE005245.1_5142-5071	12	carna
X01618.1_1-119	M11538.1_4-116	5	carna
X07377.1_52-124	X59582.1_477-558	18	carna
K00242.1_1-75	X16885.1_631-561	4	carna
AL590457.2_15409-15481	X52392.1_5172-5240	0	carna
D86541.1_983-1033	D86534.1_983-1033	0	carna
X13975.1_858-928	Y14522.1_1-81	42	carna
AJ002571.1_38016-37861	Z99111.2_13049-12893	1	carna
AY082968.1_65-148	AF484488.1_59-142	18	carna
AB057609.1_1528-1593	AF290978.1_9117-9182	1	carna
AB017534.1_661-726	D88033.1_3186-3249	28	carna
Z11824.1_3-116	D13621.1_3-119	5	carna
AF533121.1_65-148	AY247251.1_104-187	0	carna
X15364.1_835-1130	AE010387.1_4828-4528	19	carna
X06477.1_503-698	X56458.1_91-238	50	carna
AB049357.1_1-68	AF164586.1_1190-1126	2	carna
X03715.1_1004-1077	X54552.1_66-137	0	carna
AY519018.1_46-97	AY371147.1_1293-1344	0	carna
AE006003.1_9570-9465	AP005048.1_244181-244295	13	carna
X00074.1_1-118	M16532.1_2-117	16	carna
M76569.1_4-118	X52297.1_1-116	1	carna
M11716.1_2-115	X62865.1_3-123	24	carna
AJ430385.1_389-639	X90723.2_393-644	207	carna
AY519097.1_46-97	AY181081.1_46-97	0	carna
K00228.1_1-82	X03924.1_848-782	53	carna
AF292842.1_80-131	AF323230.1_34-85	0	carna
AY371151.1_1284-1335	AF024163.1_90-141	0	carna
AC009323.4_12825-12742	AJ428514.1_9797-9864	61	carna
Z84276.1_1-250	AF165052.1_1-379	104	carna
AB084422.1_1249-1362	AF048712.1_1102-1215	0	carna
X03904.1_2-116	M34774.1_2-116	1	carna
AE007525.1_2612-2714	AP003006.2_282610-282707	26	carna
AF085363.1_4369-4429	AJ295172.1_4347-4407	4	carna
AY232553.1_1231-1344	U52223.1_8-121	0	carna
AP001516.1_103625-103731	AE010479.1_12991-12886	31	carna
