sequence_a	sequence_b	software	sensitivity	specificity	approx_correlation	correlation	matthew_coefficient
X86563.2_66129-66056	AB027572.1_4261-4342	foldalign	0.000	0.000	0.000	0.000	-0.037
U89866.1_449-547	AF110973.1_69-167	foldalign	1.000	1.000	1.000	1.000	1.000
M20947.1_1-74	AB042432.1_3845-3913	foldalign	0.190	0.182	0.186	0.150	0.150
AJ536614.1_206-152	AJ005321.1_281-333	foldalign	1.000	1.000	1.000	1.000	1.000
AF017872.1_10-93	AF115449.1_65-148	foldalign	1.000	1.000	1.000	1.000	1.000
AJ428514.1_11535-11602	X12631.1_3132-3200	foldalign	0.000	0.000	0.000	0.000	-0.064
AE017025.1_103946-104055	AE017257.1_202839-202737	foldalign	0.344	0.379	0.362	0.346	0.346
L38340.1_5-289	AF506655.1_1-238	foldalign	0.000	0.000	0.000	0.000	-0.014
AY134961.1_65-148	AF069946.1_51-134	foldalign	0.000	0.000	0.000	0.000	-0.019
U10409.1_2025-2178	U48228.1_7-166	foldalign	0.636	0.700	0.668	0.663	0.663
X00239.1_111-183	X16885.1_635-704	foldalign	1.000	1.000	1.000	1.000	1.000
AF069936.1_65-148	AF121499.1_65-148	foldalign	0.000	0.000	0.000	0.000	-0.020
D00547.1_242-315	K01390.1_620-691	foldalign	1.000	1.000	1.000	1.000	1.000
AF004885.1_318-401	AF069670.1_61-144	foldalign	1.000	1.000	1.000	1.000	1.000
AF418495.1_65-148	U29265.1_65-148	foldalign	0.000	0.000	0.000	0.000	-0.017
X55342.1_30-101	J01390.1_6761-6842	foldalign	0.455	0.455	0.455	0.436	0.436
S79854.1_1605-1666	AF333036.1_2190-2249	foldalign	0.000	0.000	0.000	0.000	-0.057
X59573.1_314-396	AF490529.1_11834-11766	foldalign	0.000	0.000	0.000	0.000	-0.042
J01390.1_6761-6842	X17113.1_351-433	foldalign	0.333	0.346	0.340	0.316	0.316
AE003624.2_69897-69824	AE006699.1_3409-3482	foldalign	0.000	0.000	0.000	0.000	-0.033
AE008727.1_5966-5885	D17510.1_119065-118992	foldalign	0.000	0.000	0.000	0.000	-0.031
X13662.1_1-116	X02013.1_1-116	foldalign	1.000	1.000	1.000	1.000	1.000
AY161882.1_171-254	AB081211.1_65-148	foldalign	1.000	1.000	1.000	1.000	1.000
AP003194.2_187997-187828	AF306669.1_1019-1194	foldalign	0.000	0.000	0.000	0.000	-0.017
AB049096.1_9230-9280	AJ238800.1_8920-8970	foldalign	1.000	1.000	1.000	1.000	1.000
X78858.1_2-193	AF041269.1_1-191	foldalign	0.891	0.911	0.901	0.900	0.900
AY012114.1_954-1022	M86501.1_1-68	foldalign	0.000	0.000	0.000	0.000	-0.052
AY278551.1_389-640	AJ295199.1_273-524	foldalign	0.000	0.000	0.000	0.000	-0.007
X69334.1_1-160	L22246.1_3195-3357	foldalign	0.041	0.040	0.040	0.028	0.028
D87492.1_2147-2192	AF036401.1_123-167	foldalign	1.000	1.000	1.000	1.000	1.000
X56506.1_61-144	X14848.1_2654-2728	foldalign	0.000	0.000	0.000	0.000	-0.031
X03952.1_2442-2467	X02916.1_2142-2167	foldalign	1.000	1.000	1.000	1.000	1.000
L03696.1_1296-1347	L11799.1_1278-1329	foldalign	1.000	1.000	1.000	1.000	1.000
X80212.2_2104-2256	AF422961.1_176-329	foldalign	1.000	1.000	1.000	1.000	1.000
X03154.1_608-697	X05071.1_204-288	foldalign	0.000	0.000	0.000	0.000	-0.030
K01050.1_1-121	X00993.1_1-119	foldalign	0.857	0.878	0.868	0.865	0.865
AE016746.1_110388-110533	AP005282.1_14081-13967	foldalign	0.000	0.000	0.000	0.000	-0.025
AY093603.1_1290-1341	AY181075.1_46-97	foldalign	1.000	1.000	1.000	1.000	1.000
Z79554.1_65-148	AY339787.1_61-144	foldalign	0.000	0.000	0.000	0.000	-0.024
D31972.1_1-309	L34371.1_1-279	foldalign	0.000	0.000	0.000	0.000	-0.006
X55255.1_4-120	Z50054.1_4-120	foldalign	0.378	0.378	0.378	0.368	0.368
Z50075.1_3-119	K01050.1_1-121	foldalign	0.500	0.553	0.526	0.514	0.514
AF200837.1_6039-6103	AF493541.1_7070-7138	foldalign	0.000	0.000	0.000	0.000	-0.038
X66185.1_1123-1236	X16001.1_1190-1303	foldalign	1.000	1.000	1.000	1.000	1.000
Z30973.1_7231-6935	AC084446.1_16506-16210	foldalign	1.000	1.000	1.000	1.000	1.000
CR543861.1_1990073-1989965	BX640439.1_206443-206535	foldalign	0.000	0.000	0.000	0.000	-0.030
M20968.1_1-73	AL132988.4_95773-95841	foldalign	1.000	1.000	1.000	1.000	1.000
AE016985.1_136499-136403	AL935252.1_99249-99354	foldalign	0.000	0.000	0.000	0.000	-0.023
AF217307.1_1-256	AF041310.1_1-191	foldalign	0.970	0.956	0.963	0.963	0.963
AF506632.1_1-234	AY344026.1_1-280	foldalign	0.188	0.181	0.184	0.177	0.177
AJ488926.1_8751-8807	AF484493.1_8773-8828	foldalign	1.000	1.000	1.000	1.000	1.000
AF071474.1_8749-8804	AF321523.1_9534-9590	foldalign	1.000	1.000	1.000	1.000	1.000
X16886.1_781-711	AC122544.1_63069-62986	foldalign	0.455	0.455	0.455	0.424	0.424
AY070184.1_1-277	AF177038.1_1-391	foldalign	0.975	0.975	0.975	0.975	0.975
X62453.1_1-74	X55514.2_4416-4343	foldalign	1.000	1.000	1.000	1.000	1.000
Z77087.1_1-197	D31603.1_1-341	foldalign	0.697	0.697	0.697	0.694	0.694
Z74797.1_2502-2432	D38114.1_11688-11758	foldalign	1.000	1.000	1.000	1.000	1.000
AY139479.1_35-118	AB115528.1_65-148	foldalign	0.261	0.261	0.261	0.243	0.243
AF008220.1_7053-7140	X52070.1_777-849	foldalign	0.273	0.273	0.273	0.246	0.246
U81475.1_411-509	L28841.1_453-551	foldalign	1.000	1.000	1.000	1.000	1.000
U45463.1_1-334	D29816.1_1-341	foldalign	0.000	0.000	0.000	0.000	-0.007
AF155162.1_115-49	X15613.1_124-189	foldalign	1.000	1.000	1.000	1.000	1.000
M10671.1_1-72	X57593.1_241-312	foldalign	1.000	1.000	1.000	1.000	1.000
AF254713.1_393-449	AF484512.1_8790-8845	foldalign	1.000	1.000	1.000	1.000	1.000
AF255925.1_20-103	AB081229.1_65-148	foldalign	0.000	0.000	0.000	0.000	-0.027
X56506.1_61-144	X51824.1_381-453	foldalign	0.000	0.000	0.000	0.000	-0.037
AF380118.1_366-433	Y11110.1_1218-1277	foldalign	1.000	1.000	1.000	1.000	1.000
U41288.1_3118-3192	AJ131145.1_1727-1802	foldalign	1.000	1.000	1.000	1.000	1.000
M36159.1_2-116	X04585.1_3-117	foldalign	0.615	0.632	0.623	0.615	0.615
M10217.1_7394-7325	AF349769.2_1315-1395	foldalign	0.429	0.429	0.429	0.409	0.409
M19342.1_69-141	AF200837.1_5597-5661	foldalign	1.000	1.000	1.000	1.000	1.000
X13975.1_858-928	AE005234.1_8154-8227	foldalign	0.955	1.000	0.977	0.976	0.976
AY371148.1_59-142	AY371161.1_59-142	foldalign	0.000	0.000	0.000	0.000	-0.021
Y10150.1_9-349	AY232733.1_1-354	foldalign	0.991	0.991	0.991	0.991	0.991
M33886.1_1-116	M26976.1_105-223	foldalign	0.350	0.350	0.350	0.335	0.335
D49776.1_1041-1076	Y13184.1_9268-9304	foldalign	1.000	1.000	1.000	1.000	1.000
X04247.1_87-278	X52312.1_235-430	foldalign	0.212	0.222	0.217	0.208	0.208
AE016792.1_163969-163863	AE007380.1_3446-3534	foldalign	1.000	1.000	1.000	1.000	1.000
X00476.1_1-85	X14848.1_3684-3752	foldalign	0.478	0.478	0.478	0.453	0.453
M27315.1_1347-1280	AL356957.27_121645-121572	foldalign	0.923	1.000	0.962	0.959	0.959
M31831.1_60-156	D49784.1_399-501	foldalign	0.069	0.074	0.072	0.050	0.050
X00574.1_1-118	M28193.1_1-119	foldalign	1.000	1.000	1.000	1.000	1.000
AP004599.1_137225-137134	AE013002.1_8534-8441	foldalign	0.000	0.000	0.000	0.000	-0.044
AB001846.1_113-164	AL953899.7_42720-42666	foldalign	1.000	1.000	1.000	1.000	1.000
X54408.1_1-73	X55026.1_20537-20608	foldalign	1.000	1.000	1.000	1.000	1.000
Z97134.1_19-102	L11769.1_65-148	foldalign	1.000	1.000	1.000	1.000	1.000
AF386049.1_65-148	AF418454.1_48-131	foldalign	1.000	1.000	1.000	1.000	1.000
AB047641.1_9329-9379	AF207768.1_9249-9299	foldalign	1.000	1.000	1.000	1.000	1.000
X14417.1_177-340	X14414.1_152-312	foldalign	0.915	0.896	0.905	0.904	0.904
AF457090.1_1293-1344	AF024385.1_93-144	foldalign	1.000	1.000	1.000	1.000	1.000
X06098.1_1-107	X00998.1_1-119	foldalign	0.412	0.378	0.395	0.378	0.378
M36306.1_1-119	X16225.1_825-943	foldalign	1.000	1.000	1.000	1.000	1.000
AF506683.1_1-239	AF506666.1_2-232	foldalign	0.639	0.575	0.607	0.602	0.602
M74245.1_1-236	U14771.1_1-239	foldalign	0.000	0.000	0.000	0.000	-0.009
X12622.1_1-118	M58416.1_2-116	foldalign	0.659	0.675	0.667	0.658	0.658
AF289550.1_71-187	AY074891.1_69-186	foldalign	0.625	0.571	0.598	0.591	0.591
AJ404321.1_65-148	AY288848.1_65-148	foldalign	1.000	1.000	1.000	1.000	1.000
AF288740.1_1291-1357	AF166127.1_1919-1981	foldalign	0.200	0.190	0.195	0.151	0.151
X00601.1_3997-4154	AL049755.2_30863-31016	foldalign	0.955	0.955	0.955	0.954	0.954
M68929.1_18311-18382	M86497.1_1020-1086	foldalign	1.000	1.000	1.000	1.000	1.000
AL591974.1_109385-109266	AL591983.1_96176-96058	foldalign	0.897	0.921	0.909	0.907	0.907
J01436.1_1456-1522	J01404.1_5140-5204	foldalign	0.000	0.000	0.000	0.000	-0.041
X66594.1_101-182	M86500.1_1-68	foldalign	0.000	0.000	0.000	0.000	-0.055
X00083.1_99-171	X00704.1_131-202	foldalign	0.000	0.000	0.000	0.000	-0.029
AF450096.1_1526-1577	L11801.1_1299-1350	foldalign	1.000	1.000	1.000	1.000	1.000
U96110.1_1273-1386	U42975.1_1160-1273	foldalign	0.000	0.000	0.000	0.000	-0.016
AE005414.1_2595-2512	AB031211.1_7799-7884	foldalign	1.000	1.000	1.000	1.000	1.000
AJ005314.1_281-334	AJ241841.1_57-3	foldalign	1.000	1.000	1.000	1.000	1.000
AL672113.1_43141-43341	AE015938.1_189808-189620	foldalign	0.400	0.471	0.435	0.425	0.425
AE016922.1_90941-90851	AL646074.1_141686-141809	foldalign	0.889	0.889	0.889	0.886	0.886
BX950851.1_2645129-2645034	AE005997.1_1861-1775	foldalign	0.500	0.591	0.545	0.529	0.529
Z99111.2_15242-15342	AP003193.2_95783-95678	foldalign	0.970	0.970	0.970	0.969	0.969
X60797.1_1180-1293	M27158.1_2168-2281	foldalign	0.605	0.575	0.590	0.583	0.583
X00575.1_1-121	M10202.1_3-117	foldalign	0.941	0.941	0.941	0.940	0.940
M33001.1_56-111	AJ247122.1_132-52	foldalign	0.350	0.538	0.444	0.406	0.406
U03329.1_228-284	AF196739.1_454-509	foldalign	1.000	1.000	1.000	1.000	1.000
X03154.1_401-474	M21542.1_51-134	foldalign	0.000	0.000	0.000	0.000	-0.038
M31831.1_60-156	X14404.1_126-225	foldalign	0.000	0.000	0.000	0.000	-0.029
AY358060.1_1284-1335	L11772.1_1290-1341	foldalign	1.000	1.000	1.000	1.000	1.000
K02362.1_1-121	X05234.1_1-119	foldalign	0.875	0.897	0.886	0.883	0.883
X05917.1_3244-3331	Y18999.2_2881-2957	foldalign	0.467	0.467	0.467	0.442	0.442
AP000988.1_199418-199133	X65991.1_1-302	foldalign	0.099	0.110	0.105	0.091	0.091
AY161890.1_12-125	AF492623.1_62-179	foldalign	0.625	0.625	0.625	0.619	0.619
AY165192.1_239-290	L11767.1_1281-1332	foldalign	1.000	1.000	1.000	1.000	1.000
AE004877.1_3967-4112	AE015164.1_10768-10646	foldalign	0.479	0.523	0.501	0.486	0.486
AF217503.1_595-688	AY372453.1_27964-28063	foldalign	0.000	0.000	0.000	0.000	-0.020
AE017311.1_207809-207719	CR543861.1_1990167-1990077	foldalign	0.538	0.609	0.574	0.554	0.554
AB049811.1_9599-9655	AF063151.1_457-513	foldalign	1.000	1.000	1.000	1.000	1.000
Z29260.1_1-302	AE013320.1_6338-6044	foldalign	0.061	0.070	0.065	0.051	0.051
AY146013.1_2-222	AY146059.1_1-212	foldalign	0.000	0.000	0.000	0.000	-0.010
AY302547.1_7306-7426	K02709.1_1396-1514	foldalign	1.000	1.000	1.000	1.000	1.000
D29816.1_1-341	U23743.1_3-295	foldalign	0.000	0.000	0.000	0.000	-0.008
AB015590.1_1-119	K03169.1_1-118	foldalign	1.000	1.000	1.000	1.000	1.000
X03715.1_481-553	M16912.1_86-157	foldalign	1.000	1.000	1.000	1.000	1.000
AY037273.1_8735-8791	AF290030.1_456-512	foldalign	1.000	1.000	1.000	1.000	1.000
BX572608.1_190529-190732	AE008342.1_7843-8078	foldalign	0.462	0.476	0.469	0.463	0.463
AF054264.1_191-256	D49777.1_849-913	foldalign	0.885	0.885	0.885	0.880	0.880
AJ006287.1_1634-1685	AY271690.1_2096-2147	foldalign	1.000	1.000	1.000	1.000	1.000
AB115512.1_65-148	AF386016.1_65-148	foldalign	1.000	1.000	1.000	1.000	1.000
X60482.1_598-623	S49118.1_1081-1106	foldalign	1.000	1.000	1.000	1.000	1.000
X16888.1_178-111	M17309.1_99-171	foldalign	0.000	0.000	0.000	0.000	-0.047
X00071.1_1-118	X00069.1_1-118	foldalign	1.000	1.000	1.000	1.000	1.000
X06428.1_229-300	X00360.1_1-73	foldalign	1.000	1.000	1.000	1.000	1.000
AY288846.1_65-148	AB042486.1_65-148	foldalign	1.000	1.000	1.000	1.000	1.000
M37339.1_618-707	AP006571.1_295973-296079	foldalign	0.913	1.000	0.957	0.954	0.954
AF538303.1_2105-2156	AY253317.1_1278-1329	foldalign	1.000	1.000	1.000	1.000	1.000
AL646057.1_132458-132357	AE008441.1_13586-13488	foldalign	0.333	0.429	0.381	0.361	0.361
AE005183.1_12182-12083	AE017266.1_253265-253367	foldalign	0.000	0.000	0.000	0.000	-0.026
M30199.1_68-167	U28505.1_6807-6921	foldalign	0.545	0.500	0.523	0.506	0.506
Z35950.1_5070-5141	AE008829.1_931-842	foldalign	0.273	0.261	0.267	0.241	0.241
X00239.1_111-183	X16888.1_869-940	foldalign	0.000	0.000	0.000	0.000	-0.038
D14420.1_2-291	AY145911.1_1-213	foldalign	0.821	0.887	0.854	0.852	0.852
AY146037.1_1-211	Z84224.1_1-250	foldalign	0.764	0.764	0.764	0.762	0.762
AF347015.1_1604-1672	M21373.1_131-204	foldalign	1.000	1.000	1.000	1.000	1.000
X02247.1_3-118	AJ131585.1_3-115	foldalign	0.514	0.514	0.514	0.505	0.505
AF484494.1_1296-1347	AF484496.1_1275-1326	foldalign	1.000	1.000	1.000	1.000	1.000
X16590.1_277-349	X99772.1_5441-5375	foldalign	0.957	1.000	0.978	0.977	0.977
AE006699.1_3409-3482	K02456.1_141-212	foldalign	1.000	1.000	1.000	1.000	1.000
AJ276595.1_14-127	AF110976.1_182-300	foldalign	0.417	0.417	0.417	0.407	0.407
U00064.1_12850-13146	X01055.1_1-297	foldalign	0.135	0.138	0.136	0.129	0.129
M10557.1_790-815	X57128.1_614-639	foldalign	1.000	1.000	1.000	1.000	1.000
M16174.1_3-119	M36154.1_1-117	foldalign	0.463	0.463	0.463	0.452	0.452
AF024190.1_120-171	M73480.1_3-54	foldalign	1.000	1.000	1.000	1.000	1.000
Y12291.1_1883-1908	X03952.1_2442-2467	foldalign	1.000	1.000	1.000	1.000	1.000
Z11822.1_1-116	L27343.1_3-116	foldalign	0.550	0.595	0.572	0.561	0.561
AE016869.1_178989-179107	U18997.1_19117-19256	foldalign	0.000	0.000	0.000	0.000	-0.035
Y11111.1_1260-1324	AB022283.1_1669-1729	foldalign	0.000	0.000	0.000	0.000	-0.054
X13823.1_142-214	AC099014.1_146549-146620	foldalign	0.167	0.167	0.167	0.134	0.134
L28846.1_453-551	AY228556.1_580-678	foldalign	1.000	1.000	1.000	1.000	1.000
AF024134.1_165-216	AB098332.1_2077-2128	foldalign	1.000	1.000	1.000	1.000	1.000
X12631.1_1426-1497	M68929.1_48611-48684	foldalign	0.000	0.000	0.000	0.000	-0.032
AF238483.1_9353-9388	D16621.1_1040-1076	foldalign	1.000	1.000	1.000	1.000	1.000
AF443113.1_230-313	AB078704.1_65-148	foldalign	1.000	1.000	1.000	1.000	1.000
M26978.1_826-899	K00634.1_531-596	foldalign	0.500	0.440	0.470	0.448	0.448
X76918.1_9308-9344	D14306.1_1043-1079	foldalign	1.000	1.000	1.000	1.000	1.000
X00706.1_129-200	J01391.1_18-88	foldalign	0.818	0.947	0.883	0.877	0.877
X59583.1_330-410	X13247.1_151-237	foldalign	0.520	0.520	0.520	0.505	0.505
AB031211.1_8065-8137	X01120.1_76-149	foldalign	0.238	0.238	0.238	0.216	0.216
AY288843.1_65-148	AF073418.1_17-100	foldalign	1.000	1.000	1.000	1.000	1.000
AF081485.1_4369-4429	M16560.1_4353-4413	foldalign	1.000	1.000	1.000	1.000	1.000
AC004941.2_32735-32806	X70810.2_2089-2011	foldalign	0.000	0.000	0.000	0.000	-0.038
AF119796.3_392-643	X04468.1_392-643	foldalign	0.000	0.000	0.000	0.000	-0.007
X65984.1_1-306	X01037.1_5-303	foldalign	0.000	0.000	0.000	0.000	-0.011
Z99109.2_169069-168952	AE015940.1_18048-17945	foldalign	0.868	1.000	0.934	0.930	0.930
AJ005298.1_56-3	AJ005310.1_56-3	foldalign	1.000	1.000	1.000	1.000	1.000
AC092237.1_57223-57161	Y11109.1_927-987	foldalign	1.000	1.000	1.000	1.000	1.000
L37447.1_4-116	X55267.1_3-119	foldalign	0.459	0.515	0.487	0.475	0.475
AP003362.3_86114-86289	AE015829.1_4454-4280	foldalign	0.053	0.054	0.053	0.037	0.037
AF418408.1_65-148	AF084725.1_65-148	foldalign	1.000	1.000	1.000	1.000	1.000
U03354.1_812-868	AF254695.1_393-449	foldalign	1.000	1.000	1.000	1.000	1.000
AY082968.1_65-148	AF484488.1_59-142	foldalign	1.000	1.000	1.000	1.000	1.000
AY371158.1_1275-1326	AY304891.1_1283-1334	foldalign	1.000	1.000	1.000	1.000	1.000
AF110981.1_69-186	AF286238.1_40-157	foldalign	0.371	0.361	0.366	0.356	0.356
AF256206.1_854-937	AF484499.1_59-142	foldalign	0.000	0.000	0.000	0.000	-0.024
X13662.1_1-116	M32519.1_4-118	foldalign	0.421	0.432	0.427	0.415	0.415
AY140557.1_891-942	AB074069.1_1344-1395	foldalign	1.000	1.000	1.000	1.000	1.000
X69327.1_1-196	S72337.1_1-193	foldalign	0.937	0.922	0.929	0.929	0.929
Z29101.1_1-302	Z29099.1_1-303	foldalign	0.105	0.106	0.105	0.099	0.099
M58306.1_1-72	M16450.1_308-380	foldalign	1.000	1.000	1.000	1.000	1.000
L27166.1_1-122	X52301.1_1-117	foldalign	0.737	0.757	0.747	0.741	0.741
AY518945.1_46-97	AJ535000.1_23-74	foldalign	1.000	1.000	1.000	1.000	1.000
X55252.1_1-115	AJ131589.1_3-115	foldalign	0.447	0.447	0.447	0.436	0.436
AY484781.1_1-50	AY561241.1_1290-1341	foldalign	1.000	1.000	1.000	1.000	1.000
AJ131583.1_3-115	Z11819.1_3-116	foldalign	0.500	0.529	0.515	0.504	0.504
D29819.1_2-340	L38330.1_3-288	foldalign	0.100	0.111	0.106	0.099	0.099
M20949.1_1-72	X52070.1_777-849	foldalign	1.000	1.000	1.000	1.000	1.000
AF217312.1_1-256	AY070187.1_1-277	foldalign	1.000	1.000	1.000	1.000	1.000
X04336.1_3210-3313	Z72500.1_3161-3251	foldalign	0.588	0.526	0.557	0.542	0.542
K02688.1_1-115	M11538.1_4-116	foldalign	0.051	0.057	0.054	0.033	0.033
AE008883.1_15399-15472	X02173.1_441-512	foldalign	1.000	1.000	1.000	1.000	1.000
AY206649.1_65-148	AY304496.1_59-142	foldalign	1.000	1.000	1.000	1.000	1.000
AB042240.3_15036-15107	AJ404228.1_1559-1631	foldalign	1.000	1.000	1.000	1.000	1.000
AP000442.6_2022-1950	D10368.1_338-405	foldalign	0.762	0.889	0.825	0.814	0.814
AF036754.1_91-138	D87492.1_743-788	foldalign	1.000	1.000	1.000	1.000	1.000
L07095.1_2676-2750	J01390.1_12177-12258	foldalign	0.000	0.000	0.000	0.000	-0.038
AF284420.1_1334-1447	M64226.1_1117-1230	foldalign	0.558	0.615	0.587	0.578	0.578
M76573.1_4-118	M76576.1_4-118	foldalign	0.463	0.475	0.469	0.457	0.457
D10744.1_389-471	AF158101.6_72033-71960	foldalign	0.000	0.000	0.000	0.000	-0.043
X65991.1_1-302	Z29103.1_1-303	foldalign	0.055	0.061	0.058	0.051	0.051
AY561242.1_1290-1341	AF484477.1_1290-1341	foldalign	1.000	1.000	1.000	1.000	1.000
AY180905.1_75-190	AF110977.1_182-300	foldalign	0.300	0.316	0.308	0.295	0.295
X03715.1_779-868	X13975.1_791-854	foldalign	0.429	0.562	0.496	0.458	0.458
M84840.1_1-320	U51778.1_1-224	foldalign	0.527	0.506	0.517	0.513	0.513
M17309.1_774-846	AC009742.4_51767-51839	foldalign	0.000	0.000	0.000	0.000	-0.030
AY161881.1_12-129	AF286365.1_694-809	foldalign	0.853	0.853	0.853	0.851	0.851
AE006003.1_9570-9465	AP005048.1_244084-244179	foldalign	0.000	0.000	0.000	0.000	-0.031
AF450097.1_143-259	AF110959.1_182-300	foldalign	0.562	0.562	0.562	0.556	0.556
L36887.1_535-616	X15613.1_124-189	foldalign	0.409	0.429	0.419	0.397	0.397
AL132709.5_148004-147935	AL132709.5_148929-148858	foldalign	0.000	0.000	0.000	0.000	-0.026
M20952.1_1-71	AJ011856.1_70824-70908	foldalign	0.458	0.478	0.468	0.448	0.448
X02258.1_3-117	X08003.1_3-119	foldalign	1.000	1.000	1.000	1.000	1.000
D13620.1_3-119	M35563.1_5-120	foldalign	1.000	1.000	1.000	1.000	1.000
U14768.1_1-239	L38346.1_1-288	foldalign	0.000	0.000	0.000	0.000	-0.010
D00560.1_67-145	AL646063.1_55639-55540	foldalign	0.000	0.000	0.000	0.000	-0.042
Z50076.1_4-120	X62859.1_3-124	foldalign	0.622	0.683	0.653	0.644	0.644
AB047640.1_1-390	AF134760.1_1-181	foldalign	0.357	0.323	0.340	0.333	0.333
AP001511.1_149016-149129	AP004595.1_126926-127031	foldalign	0.971	0.971	0.971	0.971	0.971
AF443087.1_1452-1503	U53654.1_165-216	foldalign	1.000	1.000	1.000	1.000	1.000
AL928701.7_176380-176432	AC139110.4_26593-26647	foldalign	1.000	1.000	1.000	1.000	1.000
AE017007.1_181315-181066	AE017033.1_110729-110493	foldalign	0.865	0.889	0.877	0.876	0.876
Z49275.1_645-762	X52049.1_2-120	foldalign	0.439	0.450	0.445	0.431	0.431
AY518966.1_46-97	AJ583710.1_52-103	foldalign	1.000	1.000	1.000	1.000	1.000
X16886.1_1355-1286	M81884.1_41401-41330	foldalign	0.000	0.000	0.000	0.000	-0.034
AJ270287.1_567-495	M68929.1_152677-152605	foldalign	1.000	1.000	1.000	1.000	1.000
Z84276.1_1-250	AF165052.1_1-379	foldalign	0.878	0.867	0.873	0.872	0.872
X04465.1_71857-71924	X07106.1_2899-2978	foldalign	0.739	0.810	0.774	0.767	0.767
X15118.1_1470-1542	X16887.1_483-416	foldalign	0.292	0.368	0.330	0.281	0.281
S76009.1_35-113	M31830.1_30-129	foldalign	0.000	0.000	0.000	0.000	-0.040
AF418332.1_65-148	AB078707.1_65-148	foldalign	0.000	0.000	0.000	0.000	-0.019
AF254677.1_544-642	L28867.1_453-551	foldalign	1.000	1.000	1.000	1.000	1.000
AF024271.1_120-171	AF069673.1_1284-1335	foldalign	1.000	1.000	1.000	1.000	1.000
AF067200.1_16-89	X00229.1_1945-2016	foldalign	1.000	1.000	1.000	1.000	1.000
X02437.1_274-344	X69660.1_114-186	foldalign	1.000	1.000	1.000	1.000	1.000
AE007651.1_7649-7751	U32782.1_8310-8397	foldalign	1.000	1.000	1.000	1.000	1.000
M26977.1_557-628	X03240.1_1-65	foldalign	0.455	0.455	0.455	0.424	0.424
AY371157.1_1296-1347	AF024350.1_90-141	foldalign	1.000	1.000	1.000	1.000	1.000
AF382005.1_581-651	D31785.1_12211-12283	foldalign	1.000	1.000	1.000	1.000	1.000
AJ320484.1_9596-9652	AF063156.1_474-530	foldalign	1.000	1.000	1.000	1.000	1.000
AC079888.10_27802-27493	X14661.1_2-308	foldalign	0.099	0.100	0.100	0.093	0.093
L27875.1_1-232	AJ006326.1_1-236	foldalign	0.000	0.000	0.000	0.000	-0.010
X00073.1_1-117	Z11816.1_1-116	foldalign	0.780	0.821	0.801	0.795	0.795
AL954371.6_110643-110589	AL592062.11_100530-100584	foldalign	1.000	1.000	1.000	1.000	1.000
AY245535.1_65-148	U29246.1_65-148	foldalign	1.000	1.000	1.000	1.000	1.000
D50484.1_1-379	AJ438622.1_1-250	foldalign	0.000	0.000	0.000	0.000	-0.008
AY070207.1_1-277	AJ438617.1_4-285	foldalign	0.000	0.000	0.000	0.000	-0.008
AF076998.1_206-289	AF529640.1_65-148	foldalign	1.000	1.000	1.000	1.000	1.000
AP004827.1_261938-261763	AE017000.1_234265-234084	foldalign	0.000	0.000	0.000	0.000	-0.014
M10358.1_2-120	X01543.1_1-118	foldalign	1.000	1.000	1.000	1.000	1.000
AF391263.1_65-148	AF073416.1_17-100	foldalign	1.000	1.000	1.000	1.000	1.000
AJ131136.1_1732-1807	AJ277126.1_6413-6487	foldalign	1.000	1.000	1.000	1.000	1.000
AF041305.1_1-191	AY190469.1_1-181	foldalign	0.784	0.755	0.770	0.767	0.767
AB001488.1_62222-62293	J01478.1_118-188	foldalign	1.000	1.000	1.000	1.000	1.000
U80517.1_412-510	AF096640.1_517-615	foldalign	1.000	1.000	1.000	1.000	1.000
AE008441.1_6797-6885	AE017166.1_115998-115896	foldalign	0.000	0.000	0.000	0.000	-0.022
D88473.1_1-392	AY190413.1_1-181	foldalign	0.333	0.300	0.317	0.309	0.309
AJ000974.1_281-386	AE015937.1_3369-3474	foldalign	0.514	0.581	0.547	0.536	0.536
AF170176.1_1092-1207	AF051555.1_130-236	foldalign	0.447	0.436	0.442	0.426	0.426
M60936.1_3-119	M35576.1_1-118	foldalign	0.000	0.000	0.000	0.000	-0.025
AY262830.1_1287-1338	AY535709.1_171-222	foldalign	1.000	1.000	1.000	1.000	1.000
AJ131144.1_1753-1833	AJ277126.1_2879-2953	foldalign	1.000	1.000	1.000	1.000	1.000
D85289.1_587-657	M22010.1_2624-2705	foldalign	0.458	0.478	0.468	0.441	0.441
X54035.1_52-153	AE012449.1_4930-4832	foldalign	0.000	0.000	0.000	0.000	-0.032
Y07589.1_82-195	M55515.1_1302-1415	foldalign	1.000	1.000	1.000	1.000	1.000
AF017874.1_1-83	AB078005.1_809-892	foldalign	0.923	0.923	0.923	0.921	0.921
M22656.1_587-656	X16885.1_811-882	foldalign	1.000	1.000	1.000	1.000	1.000
AE015936.1_222874-222760	AE017266.1_253092-253204	foldalign	0.000	0.000	0.000	0.000	-0.020
AF003887.1_579-677	U81465.1_411-509	foldalign	1.000	1.000	1.000	1.000	1.000
AF454951.1_1084-1198	X52047.1_2-120	foldalign	0.700	0.718	0.709	0.701	0.701
AY253309.1_1281-1332	AY492757.1_849-900	foldalign	1.000	1.000	1.000	1.000	1.000
Z35950.1_5070-5141	X87209.1_183-268	foldalign	0.000	0.000	0.000	0.000	-0.034
